26,24,22,20,18,16,14,12,10,8,6,4,2,,,25,23,21,19,17,15,13,11,9,7,5,3,1
26,24,22,20,18,16,14,12,10,8,6,4,2,,,25,23,21,19,17,15,13,11,9,7,5,3,1
26,24,22,20,18,16,14,12,10,8,6,4,2,,,25,23,21,19,17,15,13,11,9,7,5,3,1
26,24,22,20,18,16,14,12,10,8,6,4,2,,,25,23,21,19,17,15,13,11,9,7,5,3,1
26,24,22,20,18,16,14,12,10,8,6,4,2,,,25,23,21,19,17,15,13,11,9,7,5,3,1
26,24,22,20,18,16,14,12,10,8,6,4,2,,,25,23,21,19,17,15,13,11,9,7,5,3,1
26,24,22,20,18,16,14,12,10,8,6,4,2,,,25,23,21,19,17,15,13,11,9,7,5,3,1
26,24,22,20,18,16,14,12,10,8,6,4,2,,,25,23,21,19,17,15,13,11,9,7,5,3,1
26,24,22,20,18,16,14,12,10,8,6,4,2,,,25,23,21,19,17,15,13,11,9,7,5,3,1
,,,,18,16,14,12,10,8,6,4,2,,,17,15,13,11,9,7,5,3,1,,,,
,,,,20,18,16,14,12,10,8,6,4,2,19,17,15,13,11,9,7,5,3,1,,,,
,,,,,,,,12,10,8,6,4,2,19,17,15,13,11,9,7,5,3,1,,,,
,,,,,,,,12,10,8,6,4,2,19,17,15,13,11,9,7,5,3,1,,,,
